x	y	z
     0.176     -0.182    -10.902
     0.165     -0.300     -7.539
     0.158     -0.110     -4.453
     0.195     -0.923    -20.089
     0.193      0.300    -16.101
     0.172     -1.371    -14.647
     0.182     -1.024    -16.804
     0.160      0.591     -3.921
     0.173     -1.024    -13.835
     0.189     -0.259    -18.017
     0.174     -0.798    -14.390
     0.175     -1.233    -16.670
     0.156      1.059     -2.690
     0.184     -0.050    -16.540
     0.189      0.102    -17.994
     0.153     -0.692     -7.510
     0.166     -0.406    -11.550
     0.176     -0.094    -14.020
     0.158     -0.640     -9.588
     0.187     -0.029    -18.208
     0.185      0.250    -17.034
     0.191      0.135    -19.794
     0.157      0.403     -6.489
     0.175     -0.256    -15.617
     0.154     -0.459     -8.488
     0.169     -0.538    -14.647
     0.168     -0.019    -12.351
     0.165      0.045    -11.472
     0.161     -0.433    -11.609
     0.169     -0.284    -14.080
     0.165      0.048    -11.751
     0.179      0.165    -16.828
     0.182      0.149    -18.649
     0.164      0.268    -11.404
     0.174      0.146    -15.615
     0.164      0.220    -12.032
     0.162     -0.577    -14.242
     0.170      0.237    -15.202
     0.153     -0.785    -11.925
     0.146     -0.864    -10.235
     0.130     -0.575     -3.237
     0.182     -0.450    -23.822
     0.151     -0.081    -10.742
     0.139     -0.460     -7.114
     0.146      0.008     -8.790
     0.171      0.834    -16.907
     0.101     -0.505      6.667
     0.167     -0.111    -19.873
     0.155      0.445    -13.227
     0.137     -0.057     -7.701
     0.136     -0.161     -7.606
     0.136     -0.551     -9.190
     0.151     -1.073    -17.489
     0.150     -0.215    -14.373
